name,collection,module,material,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,r_max_mm,spool,spin
containment_wrap,07 Frames and casings,fan,composite,7040,7040,8.0,338.0,-458.6,458.6,-458.6,458.6,458.6,,
coolant_lines,09 Accessories,accessories,copper,732,700,1366.0,1720.0,105.9,153.6,428.3,518.4,536.0,,
core_cowl,07 Frames and casings,frames,titanium,4800,4800,780.0,1340.0,-344.0,344.0,-344.0,344.0,344.0,,
core_splitter,07 Frames and casings,frames,casing,3200,3200,695.0,780.0,-349.0,349.0,-349.0,349.0,349.0,,
diffuser,03 Combustor,combustor,nickel,21420,18540,1350.0,1378.0,-311.0,311.0,-310.9,310.9,311.0,,
fadec_a,09 Accessories,accessories,composite,336,258,920.0,1260.0,338.6,477.1,-340.2,-177.0,521.0,,
fadec_b,09 Accessories,accessories,composite,336,258,920.0,1260.0,-477.1,-338.6,-340.2,-177.0,521.0,,
fan_blisk_1,01 Fan,fan,titanium,11852,11276,-8.0,144.5,-433.1,433.1,-434.3,434.3,434.3,lp,1.0
fan_blisk_2,01 Fan,fan,titanium,15220,14260,233.5,336.5,-420.4,420.4,-421.5,421.5,421.5,lp,1.0
fan_drum,01 Fan,fan,titanium,3520,3520,144.5,233.5,-218.5,218.5,-218.5,218.5,218.5,lp,1.0
fan_frame_hub,07 Frames and casings,frames,casing,1920,1920,425.0,542.0,-294.0,294.0,-294.0,294.0,294.0,,
fan_frame_struts,07 Frames and casings,frames,casing,1680,1456,440.0,540.0,-429.2,429.2,-429.2,429.2,429.2,,
flameholder,05 Augmentor,augmentor,cmc,3136,3072,2399.3,2445.7,-422.0,422.0,-422.0,422.0,422.6,,
flange_fan_aft,07 Frames and casings,frames,casing,2152,2440,417.0,439.0,-440.0,440.0,-440.0,440.0,440.0,,
flange_inlet,07 Frames and casings,frames,casing,2152,2440,-16.0,6.0,-478.0,478.0,-478.0,478.0,478.0,,
flange_outer_aft,07 Frames and casings,frames,inconel,2320,2640,2842.0,2864.0,-492.0,492.0,-492.0,492.0,492.0,,
flange_outer_mid,07 Frames and casings,frames,casing,2320,2640,1352.0,1374.0,-482.0,482.0,-482.0,482.0,482.0,,
front_harness,09 Accessories,accessories,rubber,1692,1652,501.1,925.0,-361.8,510.1,-210.4,510.7,510.9,,
fuel_lines,09 Accessories,accessories,steel,1926,1862,347.9,2079.0,-217.1,58.0,-646.2,-440.2,672.6,,
fuel_manifold,03 Combustor,combustor,steel,2240,2240,1390.0,1410.0,-484.7,484.7,-484.7,484.7,484.7,,
fuel_metering_unit,09 Accessories,accessories,steel,192,162,700.0,860.0,-70.0,70.0,-628.0,-568.0,628.5,,
fuel_nozzles,03 Combustor,combustor,steel,6048,5796,1380.0,1422.0,-473.3,473.3,-479.0,479.0,479.1,,
fuel_oil_hx,09 Accessories,accessories,steel,1736,1658,528.0,658.0,16.8,83.2,-658.2,-591.8,660.1,,
fuel_oil_hx_lines,09 Accessories,accessories,steel,72,40,544.0,642.0,44.1,55.9,-599.0,-569.0,601.6,,
fuel_pump,09 Accessories,accessories,steel,368,368,282.0,386.0,-40.0,40.0,-568.0,-488.0,568.0,,
gearbox,09 Accessories,accessories,casing,1728,1452,380.0,880.0,-119.0,119.0,-576.0,-448.0,579.7,,
gearbox_mounts,09 Accessories,accessories,casing,96,56,387.0,848.0,-78.0,78.0,-458.0,-405.7,464.6,,
generator_l,09 Accessories,accessories,casing,1440,1440,600.0,820.0,105.0,239.0,-579.0,-445.0,607.1,,
generator_r,09 Accessories,accessories,casing,1440,1440,600.0,820.0,-239.0,-105.0,-579.0,-445.0,607.1,,
harness_looms,09 Accessories,accessories,rubber,8088,7852,796.8,2662.3,-482.1,482.1,-265.0,473.5,514.1,,
harnesses,09 Accessories,accessories,rubber,168,144,861.1,936.9,-418.6,418.6,-488.3,-253.5,496.1,,
hp_front_drum,02 Compressor,compressor,titanium,960,960,622.3,824.8,-282.0,282.0,-282.0,282.0,282.0,hp,-1.0
hpc_drum,02 Compressor,compressor,titanium,18240,18240,824.8,1407.0,-295.0,295.0,-295.0,295.0,295.0,hp,-1.0
hpt_disc,04 Turbines,turbine,nickel,3840,3840,1722.6,1815.2,-262.0,262.0,-262.0,262.0,262.0,hp,-1.0
hydraulic_lines,09 Accessories,accessories,steel,5340,5300,464.0,2833.8,-423.4,387.7,-627.7,-309.5,654.8,,
hydraulic_pump,09 Accessories,accessories,steel,128,128,430.0,520.0,-38.0,38.0,-642.0,-566.0,642.0,,
igniters,03 Combustor,combustor,steel,128,72,1449.0,1475.0,-433.0,433.0,166.3,255.3,496.0,,
ignition_exciters,09 Accessories,accessories,casing,1008,774,1140.0,2110.0,-450.5,450.5,198.2,392.9,522.4,,
ignition_leads,09 Accessories,accessories,steel,1434,1360,1245.2,2466.9,-448.6,448.6,230.8,472.6,545.8,,
inlet_case,07 Frames and casings,fan,casing,1600,1600,-190.0,-8.0,-446.0,446.0,-446.0,446.0,446.0,,
intermediate_case,07 Frames and casings,frames,titanium,28800,28800,425.0,2020.0,-426.0,426.0,-426.0,426.0,426.0,,
line_clamps,09 Accessories,accessories,steel,3072,1728,571.4,2640.9,-360.9,360.9,-505.1,463.6,529.6,,
lpt_disc,04 Turbines,turbine,nickel,4000,4000,1941.5,2012.0,-250.8,250.8,-250.8,250.8,250.9,lp,1.0
mixer,05 Augmentor,augmentor,nickel_hot,8832,8832,2020.0,2200.0,-414.5,414.5,-414.5,414.5,414.5,,
mode_valve,07 Frames and casings,frames,titanium,2400,2352,618.0,687.9,-423.8,423.8,-423.8,423.8,423.8,,
mode_valve_actuators,09 Accessories,accessories,steel,664,532,530.0,694.0,-355.2,355.2,300.5,355.2,493.8,,
mount_aft_lug,09 Accessories,accessories,steel,56,36,2105.0,2195.0,-35.0,35.0,466.9,522.9,523.6,,
mount_trunnions,09 Accessories,accessories,steel,224,120,446.0,534.0,-480.0,480.0,-44.0,44.0,481.3,,
nozzle_actuators,06 Nozzle,nozzle,steel,720,408,3926.0,4126.0,-447.0,447.0,-447.0,447.0,534.0,,
nozzle_conv_flaps,06 Nozzle,nozzle,cmc,3136,3072,4100.0,4280.0,-442.0,442.0,-442.0,442.0,442.0,,
nozzle_conv_seals,06 Nozzle,nozzle,cmc,2464,2432,4101.0,4280.0,-421.8,421.8,-421.8,421.8,423.3,,
nozzle_div_flaps,06 Nozzle,nozzle,cmc,3136,3072,4280.0,4500.0,-365.1,365.1,-365.1,365.1,365.1,,
nozzle_div_links,06 Nozzle,nozzle,steel,1152,672,4350.0,4410.0,-401.5,401.5,-401.5,401.5,401.5,,
nozzle_div_seals,06 Nozzle,nozzle,cmc,2464,2432,4281.0,4500.0,-346.5,346.5,-346.5,346.5,347.1,,
nozzle_ext_flaps,06 Nozzle,nozzle,inconel,4320,4288,4100.0,4500.0,-470.0,470.0,-470.0,470.0,470.0,,
nozzle_hinges,06 Nozzle,nozzle,steel,1344,768,4090.0,4290.0,-472.8,472.8,-472.8,472.8,474.1,,
nozzle_static_ring,06 Nozzle,nozzle,inconel,4520,4816,4000.0,4100.0,-490.0,490.0,-490.0,490.0,490.0,,
nozzle_unison_ring,06 Nozzle,nozzle,inconel,1024,864,4118.0,4134.0,-450.0,450.0,-450.0,450.0,450.0,,
oil_lines,09 Accessories,accessories,steel,414,382,449.0,1870.9,-6.0,6.0,-517.9,-107.0,517.9,,
oil_tank,09 Accessories,accessories,steel,362,396,876.0,1060.0,-56.0,56.0,-568.0,-456.0,568.0,,
sensor_probes,09 Accessories,accessories,steel,1736,980,785.0,2635.0,-248.3,248.3,382.2,447.0,504.1,,
service_struts,07 Frames and casings,frames,casing,840,728,1835.0,1925.0,-462.0,462.0,-462.0,462.0,462.0,,
shaft_hp,08 Spools and bearings,spools,steel,3328,3256,470.0,1858.0,-151.0,151.0,-151.0,151.0,151.0,hp,-1.0
shaft_lp,08 Spools and bearings,spools,steel,3520,3520,10.0,2012.0,-62.0,62.0,-62.0,62.0,62.0,lp,1.0
spinner,01 Fan,fan,titanium,4802,4960,-236.0,-8.0,-128.0,128.0,-128.0,128.0,128.0,lp,1.0
sump_front,08 Spools and bearings,spools,steel,4160,4160,219.0,542.0,-286.0,286.0,-286.0,286.0,286.0,,
sump_rear,08 Spools and bearings,spools,steel,1920,1920,1834.0,1916.0,-251.8,251.8,-251.8,251.8,251.8,,
swirlers,03 Combustor,combustor,nickel_hot,5760,5472,1422.0,1448.0,-320.5,320.5,-325.0,325.0,325.0,,
swivel_bearing_1,06 Nozzle,nozzle,steel,1840,1540,2868.0,2892.0,-510.0,510.0,-510.0,510.0,510.0,,
swivel_bearing_2,06 Nozzle,nozzle,steel,1840,1540,2965.4,3394.6,-470.8,470.8,-510.0,510.0,510.1,,
swivel_bearing_3,06 Nozzle,nozzle,steel,1840,1540,3485.4,3914.6,-470.8,470.8,-510.0,510.0,510.1,,
swivel_coupling_1,06 Nozzle,nozzle,steel,236,198,2830.0,2906.0,318.8,407.6,-407.6,-318.8,545.0,,
swivel_coupling_2,06 Nozzle,nozzle,steel,236,198,2992.0,3075.4,281.3,383.6,-407.6,-318.8,529.8,,
swivel_coupling_3,06 Nozzle,nozzle,steel,236,198,3804.6,3888.0,281.3,383.6,-407.6,-318.8,529.8,,
swivel_drive_1,06 Nozzle,nozzle,steel,380,358,2756.0,2891.0,-417.2,-314.6,-417.2,-314.6,583.0,,
swivel_drive_2,06 Nozzle,nozzle,steel,380,358,3251.9,3416.0,-575.1,-422.3,-34.0,34.0,575.1,,
swivel_drive_3,06 Nozzle,nozzle,steel,380,358,3771.9,3936.0,422.3,575.1,-34.0,34.0,575.1,,
swivel_duct_aft,06 Nozzle,nozzle,inconel,14160,14752,3502.7,4000.0,-490.0,490.0,-490.0,490.0,490.2,,
swivel_duct_fwd,06 Nozzle,nozzle,inconel,14160,14752,2880.0,3377.3,-490.0,490.0,-490.0,490.0,490.2,,
swivel_duct_mid,06 Nozzle,nozzle,inconel,14160,14752,2982.7,3897.3,-479.0,479.0,-490.0,490.0,490.2,,
swivel_fixed_ring,06 Nozzle,nozzle,inconel,11080,11312,2850.0,2880.0,-490.0,490.0,-490.0,490.0,490.0,,
swivel_hyd_aft,06 Nozzle,nozzle,steel,5704,5620,3863.1,3977.0,-489.8,489.8,-489.8,489.8,520.0,,
swivel_hyd_fwd,06 Nozzle,nozzle,steel,2808,2768,2904.1,3382.6,-628.3,496.9,-366.4,509.7,628.3,,
swivel_hyd_mid,06 Nozzle,nozzle,steel,1764,1724,3058.2,3902.6,322.4,628.3,-366.4,12.3,628.3,,
swivel_rotary_union,06 Nozzle,nozzle,steel,68,46,2770.0,2836.0,305.9,389.7,-389.7,-305.9,530.0,,
tailcone,05 Augmentor,augmentor,cmc,5122,5280,2016.0,2560.0,-247.0,247.0,-247.0,247.0,247.0,,
tms_hx,07 Frames and casings,frames,copper,3552,3360,1474.0,1760.0,-459.6,459.6,-459.6,459.6,459.8,,
towershaft,09 Accessories,accessories,steel,136,118,468.0,512.0,-22.0,22.0,-502.0,-142.0,502.2,,
vanes_cdfs,02 Compressor,compressor,titanium,25320,23400,627.4,695.0,-382.0,382.0,-382.0,382.0,382.0,,
vanes_fan_s1,01 Fan,fan,titanium,18480,17200,147.5,230.5,-430.1,430.1,-430.1,430.1,431.0,,
vanes_fan_s2,01 Fan,fan,titanium,22968,21304,339.5,425.0,-415.3,415.3,-415.3,415.3,416.0,,
vanes_hpc_igv,02 Compressor,compressor,nickel,22216,20808,695.0,819.1,-322.0,322.0,-322.0,322.0,322.0,,
vanes_hpc_s1,02 Compressor,compressor,nickel,22116,20388,889.7,944.3,-318.5,318.5,-318.3,318.3,318.6,,
vanes_hpc_s2,02 Compressor,compressor,nickel,24040,22120,1005.3,1054.7,-316.0,316.0,-316.0,316.0,316.0,,
vanes_hpc_s3,02 Compressor,compressor,nickel,26284,24172,1108.9,1153.0,-313.8,313.8,-313.6,313.6,313.8,,
vanes_hpc_s4,02 Compressor,compressor,nickel,28956,26588,1199.5,1238.0,-312.7,312.7,-312.6,312.6,312.7,,
vanes_hpc_s5,02 Compressor,compressor,nickel,34192,31376,1278.4,1309.6,-311.7,311.7,-311.7,311.7,311.7,,
vanes_hpt_ngv,04 Turbines,turbine,cmc,46504,30016,1686.0,1751.0,-329.2,329.2,-329.2,329.2,330.0,,
vanes_mtf,04 Turbines,turbine,nickel_hot,14304,13792,1820.5,1938.5,-358.0,358.0,-358.0,358.0,358.0,,
vsv_actuation,02 Compressor,compressor,steel,4472,3514,788.6,1031.2,-336.0,336.0,-336.0,336.0,336.0,,
